Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Botswana,7895.482486,8603.435931,8696.776347,8968.344156,8126.774769,8853.779575,8757.184626,9490.579792,9864.253709,9902.634421,9775.240244,10031.91704,9460.89552,10141.31935,10129.52219,10629.1783,11423.57199,12312.53788,12913.88334,12233.73202,12778.16067,13789.7718,14291.63963,15182.99581,15571.99955,15109.12554,15454.83231,
Central African Republic,,,,,,,,,,,,,,,,,,,851.6778686,861.5160807,885.4806542,908.613409,943.7776987,595.3700076,599.7518106,624.498635,643.7469747,663.1516331
Canada,30226.65224,29269.97827,29094.16608,29600.25168,30581.61906,31173.07163,31367.74196,32440.81867,33340.07692,34765.99407,36492.55331,36700.27156,37582.74057,37890.49216,38774.60366,39657.48464,40558.53595,41039.78788,40996.5856,39253.04245,39900.59881,40778.31437,41055.03067,41697.39257,42383.09829,42511.83566,42664.18265,
Central Europe and the Baltics,,,,,,,,,,,,,,,16697.73663,17700.08354,18800.98038,19897.17163,20945.18414,20364.73613,20638.5279,21338.7266,21658.18611,22076.70078,22736.72481,23559.2854,24320.45295,
Switzerland,49017.94788,48014.8826,47347.43571,47068.94797,46934.91654,47230.65246,47394.19612,49189.91391,50711.3886,51704.7149,53875.14349,52890.49221,51993.96709,53625.15462,54532.8037,56993.37436,58381.73962,56419.75151,52929.54758,55666.50469,58957.44936,56459.93897,57130.68357,57566.94665,57472.43987,58279.64233,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,12497.91844,13263.86336,13758.26711,13455.07587,13916.86512,14234.04393,14439.2711,14554.74966,15064.88447,15637.35165,15666.58435,16438.87818,17652.27336,17346.75038,18053.76319,19187.32745,20334.58482,21081.77815,21506.72281,21854.28392,21768.25176,21909.50098
China,,,,,,2530.246724,2755.56536,2986.823524,3176.905557,3399.236519,3662.062101,3930.050191,4275.697181,4692.211774,5152.352968,5681.608859,6399.841505,7301.775492,7996.460718,8637.891602,9485.320122,10287.85798,11120.50289,11855.01291,12775.47597,13519.35998,14353.97719,15269.76124
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,2576.013944,2596.367844,2589.493444,2413.631025,2626.303004,2757.205029,2976.961728,3142.376796,3323.286474,3481.22531
Cameroon,2905.417076,2658.417172,2535.019118,2273.689662,2246.494482,2260.020988,2297.20598,2353.845201,2429.239945,2476.342151,2450.578845,2472.014376,2534.138482,2644.084241,2783.661085,2752.643442,2811.938452,2843.073515,2882.071718,2899.056959,2900.588475,2938.365391,2974.531906,3039.810453,3169.729396,3242.805366,3280.426138,3314.744584
"Congo, Dem. Rep.",,,,833.2487628,729.2407785,695.6350941,724.8819168,664.1088207,642.2365823,579.7443524,565.7358156,522.2232002,531.3175077,548.0970407,564.1428121,572.4741092,589.8188474,602.239059,602.2443813,614.2379234,634.7114491,648.1928346,665.5825061,669.4619092,712.6134024,750.1302001,791.8744238,795.8264152
"Congo, Rep.",5770.555553,5853.843873,6094.002885,5486.288103,5323.272576,3869.566192,3893.302434,4339.793992,5013.509996,3907.701552,3455.681852,3880.184151,3938.392783,3832.447444,3517.84992,2898.599435,2606.789083,3051.996222,3522.932699,3964.400644,3946.420302,3872.239455,4616.26947,4969.513332,5777.948045,7418.029004,6629.802871,5694.221011
Colombia,7173.93236,7254.578386,7509.833651,7608.269949,8044.83531,8329.25781,8331.208956,8474.051608,8434.710491,7964.097389,8161.581437,8157.247342,8226.119366,8369.134035,8688.195053,8963.26974,9449.020109,9949.399834,10154.61849,10246.80167,10490.8621,10965.40362,11364.02395,11847.33827,12315.2164,12772.22862,13050.36976,12937.87977
Comoros,1595.418401,1466.756769,1571.440846,1560.503026,1430.087107,1444.12456,1383.02861,1399.898582,1377.147743,,1483.288875,1483.336351,1472.320825,1466.24591,1457.139219,1465.343428,1469.898372,1455.74894,1418.062402,1412.636891,1410.281955,1412.720472,1418.141391,1437.465097,1435.172752,,,
Cabo Verde,,,,,,,,,,,,,,,,,,5515.901456,5787.277678,5656.391299,5569.679748,5756.92592,5732.143946,5755.538598,5631.938871,5691.557386,5829.311443,5983.137566
